,acc,loss,val_acc,val_loss
83,0.599601833976834,1.1767739962733696,0.5885,1.2123958501815797
84,0.5993404118404119,1.1789883935160004,0.6009,1.1738782192230224
85,0.6030765503875969,1.177483554958373,0.5673,1.2818724180221557
86,0.5999436936936937,1.1756685139129521,0.5738,1.2708394102096559
87,0.6046107881136951,1.167779022100976,0.5902,1.2184677404403688
88,0.6052283653846153,1.1788508867606138,0.6119,1.134303351020813
89,0.6029958010335917,1.1802864649191076,0.5712,1.279250471496582
90,0.6000643500643501,1.1758810082304278,0.5634,1.3140903987884522
91,0.6049710424710425,1.1682525092263634,0.5793,1.2418468940734864
92,0.6030807593307593,1.1788115030396706,0.5933,1.170026736831665
93,0.6018854974160207,1.1747967767160992,0.5694,1.264794772720337
94,0.6026986808236808,1.1809441658213946,0.586,1.2417402055740356
95,0.6046090733590733,1.1715044002582053,0.568,1.300941570854187
96,0.5973837209302325,1.1815433169520178,0.5795,1.2352185634613038
97,0.60438787001287,1.1762145969398234,0.5643,1.2732169507980347
98,0.6000040218790219,1.1844958410606727,0.5761,1.2235247737884523
99,0.6024774774774775,1.1752473698926555,0.5363,1.3570091217041016
